handle,type,packsize,cost,razorCost,url
0,op,1,8.89,8.89,https://www.ebay.co.uk/itm/382953216247
0,ps,1,8.95,8.95,https://www.ebay.co.uk/itm/163385402218
0,ps,1,8.95,8.95,https://www.ebay.co.uk/itm/324439376717
0,op,4,35.95,8.9875,https://www.amazon.co.uk/dp/B00CEU3D1C
0,pc,1,8.99,8.99,https://www.amazon.co.uk/dp/B018M3GBSQ
1,pp,3,26.99,8.996666666666666,https://www.ebay.co.uk/itm/254496827559
0,pc,1,9.08,9.08,https://www.amazon.co.uk/dp/B0196HHE92
0,pc,3,27.94,9.313333333333334,https://www.amazon.co.uk/dp/B0869C36KC
0,ps,3,28.4715,9.490499999999999,https://www.amazon.co.uk/dp/B06XYL5TJT
0,pp,8,79.34,9.9175,https://www.ebay.co.uk/itm/383065067193
1,pp,1,9.99,9.99,https://www.superdrug.com/p/375107
0,op,1,10.9,10.9,https://www.amazon.co.uk/dp/B00J2AP9F0
0,op,1,11.12,11.12,https://www.amazon.co.uk/dp/B00OYRVPE0
0,op,1,11.12,11.12,https://www.amazon.co.uk/dp/B00TF87HSG
1,pp,1,11.36,11.36,https://www.amazon.co.uk/dp/B00APFDF0C
1,pp,8,91.25,11.40625,https://www.ebay.co.uk/itm/184227860111
0,op,1,11.5,11.5,https://www.amazon.co.uk/dp/B00GLAAES6
0,op,1,11.9,11.9,https://www.amazon.co.uk/dp/B00J2APFMW
0,ps,1,11.99,11.99,https://www.amazon.co.uk/dp/B017XAH0BQ
0,op,1,12,12,https://www.amazon.co.uk/dp/B005B8TSMW
0,op,1,12,12,https://www.amazon.co.uk/dp/B004AML800
0,ps,1,12.08,12.08,https://www.amazon.co.uk/dp/B01N7FK0NC
0,pc,1,12.67,12.67,https://www.amazon.co.uk/dp/B06XYKQNZK
6,ps,6,76.18,12.696666666666667,https://www.amazon.co.uk/dp/B076QJX5G9
0,ps,2,25.48,12.74,https://www.amazon.co.uk/dp/B06X9SLLS4
1,pp,3,38.97,12.99,https://www.chemist.co.uk/gillette-fusion-proglide-power-men-s-razor-with-flexball-technology.html
1,pp,1,13.63,13.63,https://www.amazon.co.uk/dp/B06X9M4579
0,ps,1,13.95,13.95,https://www.amazon.co.uk/dp/B0792S2Q79
1,pp,1,13.99,13.99,https://www.ebay.co.uk/itm/15325753123
1,pp,1,14.05,14.05,https://www.beautytheshop.com/uk/drugstore/men/gillette/gilette-fusion-proglide-power-manual-razor-with-flexball-technology
1,pp,1,14.2,14.2,https://www.mifarma.co.uk/maquinilla-afeitar-fusion-proglide-power-gillette-1ud
1,pp,1,14.6,14.6,https://www.beautiq.shop/gb/gillette/gilette-fusion-proglide-power-manual-razor-with-flexball-technology-7702018355488
1,pp,2,29.8,14.9,https://www.notino.co.uk/gillette/fusion-proglide-flexball-shaver/p-554689/
1,pp,1,14.95,14.95,https://www.amazon.co.uk/dp/B0151I9S62
1,pp,1,15,15,https://www.gillette.co.uk/12006451.html
1,pp,1,15,15,https://www.amazon.co.uk/dp/B0792Q1PXD
1,pp,2,30,15,https://www.shavers.co.uk/gillette-81694754-fusion-proglide-power-flexball-razor.html
1,pp,3,45,15,https://www.chemistdirect.co.uk/prd-0146915
1,ps,1,15,15,https://www.sainsburys.co.uk/gol-ui/product/gillette-proshield-power-mens-razor-with-1-blade
1,pp,1,15.97,15.97,https://www.amazon.co.uk/dp/B008BGLQG2
1,pp,1,15.99,15.99,https://www.ebay.co.uk/itm/292990476942
1,op,1,15.99,15.99,https://www.amazon.co.uk/dp/B0144MC73M
